mean_energy,std_energy,median_energy,top_bin_1,top_bin_2,top_bin_3,time_mean_mean,time_mean_std,file_id,species
-62.87983097049587,12.058537042383946,-66.4498519897461,38,39,37,-62.87983097049587,3.7369931503016027,ML179126,american_toad
-50.96820994872781,12.854377979999331,-53.41881561279297,38,37,39,-50.96820994872781,4.113366505295116,ML179127,american_toad
-54.1305852414837,14.674575717224716,-58.673160552978516,26,27,25,-54.1305852414837,7.808653988989414,ML179128,american_toad
-56.32399505318041,16.92995779836438,-57.18687629699707,28,27,29,-56.32399505318041,6.9961300489578235,ML179129,american_toad
-55.58800260567057,14.746200438299553,-58.051151275634766,23,22,24,-55.58800260567057,5.377017726351287,ML179145,american_toad
-46.22997996681251,14.718655092785598,-49.01168632507324,26,25,27,-46.22997996681251,4.880560778669172,ML182017,american_toad
-58.43030088344749,12.769763827694446,-62.365983963012695,40,27,26,-58.43030088344749,4.173743028619148,ML182018,american_toad
-52.548133955512135,15.525768463557354,-54.530372619628906,26,25,24,-52.548133955512135,6.7214965186692615,ML182019,american_toad
-52.0306821443711,17.26136941573292,-53.19457244873047,28,27,29,-52.0306821443711,2.4923877916480417,ML182054,american_toad
-53.656493898679926,16.79159462742648,-55.08877182006836,30,29,31,-53.656493898679926,1.8543480420886935,ML182055,american_toad
-56.19063613945813,16.977834748724415,-56.4959831237793,30,31,29,-56.19063613945813,6.87229410795142,ML182189,american_toad
-56.84115041954888,16.964531908624064,-58.61314010620117,29,28,30,-56.84115041954888,7.125105676748068,ML182191,american_toad
-56.81592680164667,17.27224504019523,-57.74943923950195,30,29,31,-56.81592680164667,4.685803325250401,ML182192,american_toad
-54.16982834888169,17.034819949587963,-54.90086364746094,30,31,29,-54.16982834888169,2.0275866823060613,ML182196,american_toad
-56.0918150501987,15.147841851881838,-58.392526626586914,29,28,30,-56.0918150501987,8.328604373882666,ML183605,american_toad
-62.04786682236084,15.414696443163171,-63.31243324279785,30,29,28,-62.04786682236084,9.965506339591968,ML183625,american_toad
-54.755384256073604,15.986081775563543,-54.812557220458984,29,30,28,-54.755384256073604,3.4090290167267767,ML183626,american_toad
-55.91956015342626,16.51745725584948,-56.76727294921875,30,29,28,-55.91956015342626,2.868689920718321,ML183627,american_toad
